challenge_image_id,local_filename,source_group_id,source_title,source_page_url,direct_download_url,creator,license_name,license_url,downloaded_at,sha256,intended_use,review_status,selection_reason,notes
candidate_001,wm_001_1de4ee1c46.jpg,wikimedia_page_4520292,File:Vietnam Police motorcycle 2007.jpg,https://commons.wikimedia.org/?curid=4520292,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Vietnam_Police_motorcycle_2007.jpg/1920px-Vietnam_Police_motorcycle_2007.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Jame Healy,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2026-08-27T19:04:16.445968+00:00,1de4ee1c46b46223bad91c131e8beee368746b9c5dcdd2ea8b0b9228784e0f41,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1920x1280
candidate_002,wm_002_b5682c3214.jpg,wikimedia_page_140483165,"File:Police motorcycle, Ho Chi Minh (LRM 20230826 171335).jpg",https://commons.wikimedia.org/?curid=140483165,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Police_motorcycle%2C_Ho_Chi_Minh_%28LRM_20230826_171335%29.jpg/1920px-Police_motorcycle%2C_Ho_Chi_Minh_%28LRM_20230826_171335%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,MB-one,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-27T19:04:25.271872+00:00,b5682c32149bed88919235ba130a30adeed83f7d770ff1deb1586291ee929e17,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1920x1438
candidate_003,wm_003_61d45c9dc4.jpg,wikimedia_page_16217239,File:Hanoi Traffic Ba Dinh Dist..jpg,https://commons.wikimedia.org/?curid=16217239,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Hanoi_Traffic_Ba_Dinh_Dist..jpg/1920px-Hanoi_Traffic_Ba_Dinh_Dist..jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Dragfyre,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-08-27T19:04:42.452187+00:00,61d45c9dc418352dba2e40cdaec62ee837adb75c792100a445aaa03e2b192380,challenge_only,candidate,,query=Hanoi motorcycle traffic; dimensions=1920x1440
candidate_004,wm_004_ade0b3b102.jpg,wikimedia_page_18029116,File:Hanoi - Straßenverkehr.jpg,https://commons.wikimedia.org/?curid=18029116,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Hanoi_-_Stra%C3%9Fenverkehr.jpg/1920px-Hanoi_-_Stra%C3%9Fenverkehr.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Franzfoto,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-08-27T19:05:33.864351+00:00,ade0b3b102c5ec4f277d1096e0191c5cbcecf3aa640daafdbf63ff68724608f0,challenge_only,candidate,,query=Hanoi traffic motorcycles; dimensions=1920x1612
candidate_005,wm_005_83bb0488a6.jpg,wikimedia_page_18029311,File:Hanoi - Straßenverkehr 04.jpg,https://commons.wikimedia.org/?curid=18029311,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Hanoi_-_Stra%C3%9Fenverkehr_04.jpg/1920px-Hanoi_-_Stra%C3%9Fenverkehr_04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Franzfoto,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-08-27T19:05:40.409363+00:00,83bb0488a61e66f558e2c647259c7b535580b637ef1255ddb3e720afc6308f70,challenge_only,candidate,,query=Hanoi traffic motorcycles; dimensions=1920x1264
candidate_006,wm_006_a52db29033.jpg,wikimedia_page_24488443,"File:Hanoi, motorcycle parking (6222936861).jpg",https://commons.wikimedia.org/?curid=24488443,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Hanoi%2C_motorcycle_parking_%286222936861%29.jpg/1920px-Hanoi%2C_motorcycle_parking_%286222936861%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Arian Zwegers,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,2026-08-27T19:05:49.488413+00:00,a52db290337143ea7a43c7106e4c1693a9968cfb28dcaccdd1799ea5b203a785,challenge_only,candidate,,query=Hanoi traffic motorcycles; dimensions=1920x1440
candidate_007,wm_007_32ea48efad.jpg,wikimedia_page_529684,File:HCMC MotorcyclePolice Jun2005.jpg,https://commons.wikimedia.org/?curid=529684,https://upload.wikimedia.org/wikipedia/commons/9/94/HCMC_MotorcyclePolice_Jun2005.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,No machine-readable author provided. Rdivilbiss assumed (based on copyright claims).,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,2026-09-01T08:11:42.369712+00:00,32ea48efad59cda557c9517a26836e3f8ce49d4db3ff9d0691f46150df74b5d4,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1399x989
candidate_008,wm_008_31df6dd2a0.jpg,wikimedia_page_23226890,"File:Traffic in Cholon, HCMC.jpg",https://commons.wikimedia.org/?curid=23226890,https://upload.wikimedia.org/wikipedia/commons/6/6c/Traffic_in_Cholon%2C_HCMC.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,"Milei.vencel, Hungary",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-01T08:11:44.578040+00:00,31df6dd2a0ec05dac1882ecf8db85d5ec5b451a3374727adc55c2503004ba0aa,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1715x1286
candidate_009,wm_009_418a37b633.jpg,wikimedia_page_30110164,"File:Tráfico en Ciudad Ho Chi Minh, Vietnam, 2013-08-14, DD 03.JPG",https://commons.wikimedia.org/?curid=30110164,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/Tr%C3%A1fico_en_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_03.JPG/1920px-Tr%C3%A1fico_en_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_03.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Diego Delso,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-01T08:11:47.278585+00:00,418a37b63389512a5e99cd549959732862985e30d4f3341cbb5388b726b7472b,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1920x1280
candidate_010,wm_010_436d927d90.jpg,wikimedia_page_30110166,"File:Tráfico en Ciudad Ho Chi Minh, Vietnam, 2013-08-14, DD 02.JPG",https://commons.wikimedia.org/?curid=30110166,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e2/Tr%C3%A1fico_en_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_02.JPG/1920px-Tr%C3%A1fico_en_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_02.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Diego Delso,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-01T08:11:48.882607+00:00,436d927d9026f955105a78ae667a6b8f6428996f7fa20708e0ed98f9f33b3c37,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1920x1082
candidate_011,wm_011_e6a442279a.jpg,wikimedia_page_30110168,"File:Tráfico en Ciudad Ho Chi Minh, Vietnam, 2013-08-14, DD 04.JPG",https://commons.wikimedia.org/?curid=30110168,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1b/Tr%C3%A1fico_en_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_04.JPG/1920px-Tr%C3%A1fico_en_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_04.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Diego Delso,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-01T08:11:55.450605+00:00,e6a442279a68b4fe8ffd0041bcc65f38bd6385d2d64905dc6b0fa432604ee80f,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1920x3057
candidate_012,wm_012_a4a73c4e5d.jpg,wikimedia_page_105762706,"File:Peak hour traffic on Duong Au Co, Hanoi, Vietnam (7060641081).jpg",https://commons.wikimedia.org/?curid=105762706,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/Peak_hour_traffic_on_Duong_Au_Co%2C_Hanoi%2C_Vietnam_%287060641081%29.jpg/1920px-Peak_hour_traffic_on_Duong_Au_Co%2C_Hanoi%2C_Vietnam_%287060641081%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"David McKelvey from Brisbane, Australia",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,2026-09-01T08:11:58.959775+00:00,a4a73c4e5d29769fb30b003e3417a6e8f8eddc017bcd776395ecaf1144c58de0,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1920x1080
candidate_013,wm_013_bcd5c7a0f8.jpg,wikimedia_page_108165376,File:Traffic BCOG.jpg,https://commons.wikimedia.org/?curid=108165376,https://upload.wikimedia.org/wikipedia/commons/2/29/Traffic_BCOG.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,An Huy,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-01T08:12:00.323143+00:00,bcd5c7a0f8941b534a01621a67ef10216233c4151161f2ae9f5dc3f356d78aaa,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=840x472
candidate_014,wm_014_3022591c91.jpg,wikimedia_page_140291798,File:Smile in Traffic.jpg,https://commons.wikimedia.org/?curid=140291798,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/96/Smile_in_Traffic.jpg/1920px-Smile_in_Traffic.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Jay.Jarosz,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-01T08:12:04.885932+00:00,3022591c91bc1b77e061b6f024ea9fa55ef074d3d1665de40fd759e64fa5c0cc,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1920x1371
candidate_015,wm_015_8bab8c00d9.jpg,wikimedia_page_142911212,File:Hanoi Traffic (1345979321).jpg,https://commons.wikimedia.org/?curid=142911212,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/Hanoi_Traffic_%281345979321%29.jpg/1920px-Hanoi_Traffic_%281345979321%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,thalling55,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,2026-09-01T08:12:09.442097+00:00,8bab8c00d9434e2f74e11cf33744de27cc58390fa8539be4d69ff34d4e9ec4f1,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1920x1440
candidate_016,wm_016_eaf4120cfb.jpg,wikimedia_page_145321209,File:Vietnam 1999.Hanoi.Rue et motocyclette (25).jpg,https://commons.wikimedia.org/?curid=145321209,https://upload.wikimedia.org/wikipedia/commons/7/73/Vietnam_1999.Hanoi.Rue_et_motocyclette_%2825%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Rc1959,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-09-01T08:12:10.971331+00:00,eaf4120cfb6019a20b19eafde26cd5bdc88df996e489d83d48b3582b738826ed,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1735x1180
candidate_017,wm_017_cd13448015.jpg,wikimedia_page_145321211,File:Vietnam 1999.Hanoi.Rue et motocyclette (27).jpg,https://commons.wikimedia.org/?curid=145321211,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/10/Vietnam_1999.Hanoi.Rue_et_motocyclette_%2827%29.jpg/1920px-Vietnam_1999.Hanoi.Rue_et_motocyclette_%2827%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Rc1959,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-09-01T08:12:14.726060+00:00,cd13448015a1072487496fd116f70603c9e237462ab37b4893e8665fa2fc3eb7,challenge_only,candidate,,query=Vietnam motorcycle traffic; dimensions=1920x1288
